region_id,Comuna,Votos derecha,Votos PDG
6,PICHILEMU,0.5540926395939086,0.05068210659898477
6,PLACILLA,0.5683860232945092,0.0697171381031614
6,PUMANQUE,0.5355662983425414,0.14986187845303867
6,SAN FERNANDO,0.5201548106737885,0.05359527420048435
6,SANTA CRUZ,0.6007251694220227,0.05663227867224932
6,SAN VICENTE,0.5975857206726967,0.06156068370189497
7,CONSTITUCION,0.60091456265145,0.09059641991714219
7,CUREPTO,0.5730787001386108,0.062066841213614665
7,CURICO,0.5643330737830632,0.06289374955758477
7,EMPEDRADO,0.794564865739243,0.055321902296991264
7,HUALAÑE,0.5392613283674736,0.054158907510862817
7,LICANTEN,0.5600456621004566,0.05684931506849315
7,MAULE,0.6270302195097943,0.07367851166453392
7,MOLINA,0.4701231180272232,0.05906776907246272
7,PELARCO,0.645124716553288,0.07061872367994818
