region_id,Comuna,Votos LP
6,LAS CABRAS,0.0
6,LITUECHE,0.0
6,LOLOL,0.0
6,MARCHIGUE,0.0
6,NANCAGUA,0.0
6,NAVIDAD,0.0
6,PALMILLA,0.0
6,PAREDONES,0.0
6,PERALILLO,0.0
6,PEUMO,0.0
6,PICHIDEGUA,0.0
6,PICHILEMU,0.0
6,PLACILLA,0.0
6,PUMANQUE,0.0
6,SAN FERNANDO,0.0
6,SANTA CRUZ,0.0
6,SAN VICENTE,0.0
7,CONSTITUCION,0.0
7,CONSTITUCION,0.08991894630192503
7,CUREPTO,0.0
7,CUREPTO,0.0730979612133267
7,CURICO,0.0
7,CURICO,0.162452159650082
7,EMPEDRADO,0.0
7,EMPEDRADO,0.09150633505396527
7,HUALAÑE,0.0
7,HUALAÑE,0.08636657333620504
