region_id,Comuna,NO
6,Rancagua,0.6236386126167801
6,Rengo,0.5676460082157528
6,Requínoa,0.5334940769472691
6,San Fernando,0.5613406130772267
6,San Vicente,0.5412443552433517
6,Santa Cruz,0.48568256194483406
7,Cauquenes,0.35541955984465107
7,Chanco,0.43094228286926056
7,Colbún,0.504104558219918
7,Constitución,0.6129737980157721
7,Curepto,0.5245250921462999
7,Curicó,0.5714208046393621
7,Empedrado,0.40091231626964013
7,Hualañé,0.577472428132345
7,Licantén,0.5356531660011409
7,Linares,0.48281361580576054
7,Longaví,0.36156441506575776
7,Maule,0.5172613029033656
7,Molina,0.6047953699875982
7,Parral,0.3920965873652321
7,Pelarco,0.33554523335545233
7,Pelluhue,0.29950669485553205
7,Pencahue,0.5193562418442801
7,Rauco,0.5489841078253872
7,Retiro,0.23593978674472088
7,Río Claro,0.4147655828992276
7,Romeral,0.43921101853426286
7,Sagrada Familia,0.6244932029573098
7,San Clemente,0.5156117696867062
7,San Javier,0.44108469212851054
7,San Rafael,0.47227332457293036
7,Talca,0.6354447514118652
7,Teno,0.4491315136476427
7,Vichuquén,0.46658364466583646
7,Villa Alegre,0.3974984365228268
7,Yerbas Buenas,0.37136739063933927
8,Alto Biobío,0.2128106018774158
8,Antuco,0.5861937452326468
8,Arauco,0.5701838588200546
8,Cabrero,0.5478159266582779
8,Cañete,0.47755581668625147
8,Chiguayante,0.684522920710766
8,Concepción,0.6232792527040315
8,Contulmo,0.34830543078807674
8,Coronel,0.7081400770571057
8,Curanilahue,0.6122257970166716
8,Florida,0.4038312992430094
8,Hualpén,0.63615181607082
8,Hualqui,0.5737856236298604
8,Laja,0.5666190726685203
8,Lebu,0.625243823146944
8,Los Álamos,0.5935389911293526
8,Los Angeles,0.41014656454901094
8,Lota,0.7676565271664149
8,Mulchén,0.3994240548985969
8,Nacimiento,0.5210280373831776
8,Negrete,0.3582474226804124
8,Penco,0.7497148072096738
8,Quilaco,0.34048140043763675
8,Quilleco,0.3202511773940345
8,San Pedro de la Paz,0.6548961115543377
8,San Rosendo,0.628755364806867
8,Santa Bárbara,0.2128106018774158
8,Santa Juana,0.2979471316085489
8,Talcahuano,0.63615181607082
8,Tirúa,0.3070603337612324
8,Tomé,0.6723844023012998
8,Tucapel,0.5617792421746294
8,Yumbel,0.4962047803617571
9,Angol,0.4378930485797493
9,Carahue,0.5106700492463812
9,Cholchol,0.46352251267269656
9,Collipulli,0.5183700188200638
9,Cunco,0.3960301454198068
9,Curacautín,0.34736738315914023
9,Curarrehue,0.20162716660771135
9,Ercilla,0.38805194805194804
9,Freire,0.4318954248366013
9,Galvarino,0.38344259795700564
9,Gorbea,0.3841741776893363
9,Lautaro,0.4638958054012641
9,Loncoche,0.4310099573257468
9,Lonquimay,0.1404506672500547
9,Los Sauces,0.43376413570274636
9,Lumaco,0.31945639084809907
9,Melipeuco,0.22375601926163724
9,Nueva Imperial,0.46352251267269656
9,Padre Las Casas,0.4589072970960536
9,Perquenco,0.4218551461245235
9,Pitrufquen,0.4607719928186714
9,Pucón,0.3004674883127922
9,Purén,0.3734484619535888
9,Renaico,0.44231149811992876
9,Saavedra,0.4996167407634524
9,Temuco,0.5685772823023576
9,Teodoro Schmidt,0.37331719860838
9,Toltén,0.3305206177360293
9,Traiguén,0.46262675825973176
9,Victoria,0.444131299734748
9,Vilcún,0.4464071529822266
9,Villarrica,0.3972324366169925
10,Ancud,0.5408491298082253
10,Calbuco,0.34969467419030686
10,Castro,0.5226638998767914
10,Chaitén,0.3539057841383423
10,Chonchi,0.446849632779281
10,Cochamó,0.1687419493344783
10,Curaco de Vélez,0.3909149072296865
10,Dalcahue,0.32555586055448804
10,Fresia,0.5060539752005835
10,Frutillar,0.48499673842139596
10,Futaleufú,0.18658280922431866
10,Hualaihué,0.23583662714097497
10,Llanquihue,0.5085271317829457
10,Los Muermos,0.3351232609226263
10,Maullín,0.4226843100189036
10,Osorno,0.5804279807799754
10,Palena,0.40493319630010277
10,Puerto Montt,0.5292027319999348
10,Puerto Octay,0.48424806815930255
10,Puerto Varas,0.44865941728231096
10,Puqueldón,0.4317430325932924
10,Purranque,0.4659090909090909
10,Puyehue,0.4631690514043455
10,Queilén,0.33066554338668913
10,Quellón,0.32652461425422485
10,Quemchi,0.3607354184277261
10,Quinchao,0.48198093466635666
10,Río Negro,0.4480511496372802
10,San Juan de la Costa,0.45558596665837275
10,San Pablo,0.4811708013564162
11,Aysén,0.5795847750865052
11,Chile Chico,0.46833261525204656
11,Cisnes,0.3397183098591549
11,Cochrane,0.3713235294117647
11,Coyhaique,0.5258636446719064
11,Guaitecas,0.2446351931330472
11,Lago Verde,0.35374149659863946
11,O'Higgins,0.04790419161676647
11,Río Ibáñez,0.3092613009922823
11,Tortel,0.07975460122699386
12,Antártica,0.03773584905660377
12,Cabo de Hornos,0.1438278595696489
12,Laguna Blanca,0.3254437869822485
12,Natales,0.5500135049968489
12,Porvenir,0.4914645103324349
12,Primavera,0.5490196078431373
12,Punta Arenas,0.5948075201432408
12,Río Verde,0.2894736842105263
12,San Gregorio,0.3108974358974359
12,Timaukel,0.39303482587064675
12,Torres del Paine,0.26126126126126126
13,Alhué,0.5004638218923934
13,Buin,0.47407159585145536
13,Calera de Tango,0.4412052117263844
13,Cerrillos,0.6155965246874338
13,Cerro Navia,0.6655340171025904
13,Colina,0.41035528596187176
13,Conchalí,0.6343145757869496
13,Curacaví,0.5310200835156095
13,El Bosque,0.6157989228007181
13,El Monte,0.4671706446954897
13,Estación Central,0.6440865934115677
13,Huechuraba,0.6624207982232674
13,Independencia,0.5862482510493704
13,Isla de Maipo,0.5576204523107178
13,La Cisterna,0.587486962293372
13,La Florida,0.6318998868510024
13,La Granja,0.6470689251424557
13,La Pintana,0.6771138343635904
13,La Reina,0.5280747703788748
13,Lampa,0.49291760958846703
13,Las Condes,0.41021649114798997
13,Lo Barnechea,0.4726446151434394
13,Lo Espejo,0.6526135117983038
13,Lo Prado,0.6612295295035092
13,Macul,0.6247175585619082
13,Maipú,0.6285149524963336
13,María Pinto,0.43193884051815673
13,Melipilla,0.47475633978474757
13,Ñuñoa,0.5729293441514537
13,Padre Hurtado,0.5525494523750193
13,Paine,0.42581220805122555
13,Pedro Aguirre Cerda,0.6808531587303541
13,Peñaflor,0.6087931122319018
13,Peñalolén,0.6356076882875559
13,Pirque,0.4067170175156677
13,Providencia,0.42486556248655627
13,Pudahuel,0.6390505115089514
13,Puente Alto,0.631516626648686
13,Quilicura,0.5893736805066855
13,Quinta Normal,0.6269594166565579
13,Recoleta,0.616953738877036
13,Renca,0.6395506430141855
13,San Bernardo,0.5948774330157179
13,San Joaquín,0.6677522568849275
13,San José de Maipo,0.525571791613723
13,San Miguel,0.6055338407735034
13,San Pedro,0.4441267572075292
