Año comercial,Comuna,region_id,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,TRANSPORTE Y ALMACENAMIENTO,INDUSTRIA MANUFACTURERA,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,OTRAS ACTIVIDADES DE SERVICIOS,INFORMACION Y COMUNICACIONES,ACTIVIDADES INMOBILIARIAS,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA","ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ENSEÑANZA,ACTIVIDADES FINANCIERAS Y DE SEGUROS,CONSTRUCCION,EXPLOTACION DE MINAS Y CANTERAS,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,HHI
2021,EL TABO,5.0,0.00015865906977584888,0.1735228137683939,0.0883992103196679,0.04914615312006073,0.02192306842624261,0.00013656730056655345,0.006607447336234719,0.07854226456701137,0.0813860777670443,0.024172412200279964,0.002020392711322835,0.13578404693095117,0.2554792608495691,0.06002333694165564,0.01811926743693302,0.00019882592288365873,0.000253051174579202,0.0035688248986289043,0.0005081106918137945,0.0,0.0,0.16203097930651963
2021,PICHIDEGUA,6.0,0.0007766935615388857,0.10196038862836151,0.03114752367331471,0.11052161660200087,0.0031161602710683997,0.0016871379780859783,0.00013727061435052815,0.03642246967434013,0.3933636110853647,0.002568251066780394,0.0008928456198354864,0.26817046429145486,0.0052397484076022105,0.009578438423570186,0.030142045754524945,0.004073534812179775,7.039518684642469e-06,0.00013844386746463523,1.0559278026963704e-05,0.0,0.0,0.31644133964702553
2021,GRANEROS,6.0,0.0026135919771911446,0.24586969894055355,0.020768639122976135,0.19671988176210098,0.008380751270844023,0.0012951985801060838,0.0011820078732486753,0.011939763988098276,0.3741927043950467,0.02305100911370749,0.021094294353360975,0.025223899568298066,0.022839472382859216,0.0,0.0417543817328755,0.001330454701914129,7.422341433272687e-06,0.0005538922294579743,0.0009333594352340404,0.0,0.0,0.30309784294404846
2021,PUERTO NATALES,12.0,0.004572096257645784,0.35094918894371097,0.06714689840154027,0.07182779777757804,0.13081327965712827,0.0023948512472148765,0.0015398006537648244,0.030878798056681693,0.23559068266860936,0.00526394217350786,0.009383086318717447,0.0011282410320212308,0.03243870363449721,0.002496558510059558,0.04697811165092175,0.000657549280716776,0.0008243018860784045,0.0049647335979299025,2.9566064780430577e-05,0.0,0.0,0.25387156475264394
2021,ISLA DE MAIPO,13.0,0.0007676344498728199,0.13024414678731971,0.04118147398825129,0.30307980796128,0.009970302955392632,0.020654571002933924,0.002198004150430331,0.011273004638333584,0.33946275346573945,0.020110558876911766,0.006233777216869743,0.05958111879468381,0.02120671484982338,0.005671875304939533,0.018861526551694974,0.003833293216843721,8.131720867296821e-07,0.0026102823984022793,0.002910342898405532,0.0,0.0,0.2847575065398477
2021,LLANQUIHUE,10.0,0.002503738449741113,0.15654370587606428,0.10006242848111374,0.21757579517122957,0.013808176943168965,0.0035411335058805516,0.0005450943488366261,0.016623397877959578,0.29020136814722036,0.003307521642093426,0.006968760682463404,0.01027628232455683,0.12477645192413025,0.024710063919901486,0.021818292204886843,0.004119223880675812,1.58380924601441e-05,0.00044478642992238016,0.0019797615575180127,0.0,0.0,0.21703911562252265
2021,NOGALES,5.0,0.0018924121729646081,0.12357311656047096,0.08820225504682089,0.04748509608885947,0.0034748602831160477,0.002593909788804937,0.0023958124554281,0.019856344474948846,0.43707962580579,0.010370978041493234,0.013899441132464191,0.060711006287842414,0.059177499871819375,0.010492166998382594,0.11142858474603921,0.005768128236560844,0.00043581413342904155,0.0011046839531837736,9.322227453027626e-06,0.0,0.0,0.29289699069755776
2021,PITRUFQUEN,9.0,0.005502845749080682,0.3310414483861512,0.17776861926750623,0.23670073052018725,0.005865638849626613,0.000394718893393973,0.005569599679581133,0.013017016447588006,0.09946335644567246,0.006417084362456429,0.04087081953510241,0.0008010471660054157,0.054320285358541165,0.004547974308443792,0.010956351636487118,0.004057478036505693,0.0003453790317197264,0.000983894888680565,0.0010912816464421606,0.0,0.0,0.2572261472491667
2021,LAJA,8.0,0.018231468061790802,0.25989489436412266,0.057940660091672855,0.21161346577586104,0.013135258698905345,0.005614667656450681,0.001900031814486196,0.009503104858189873,0.021789977258533943,0.07365937290112765,0.012366408615834188,0.00020031343160474625,0.23901811069084566,0.011214606384106896,0.04107309083624966,0.005420245796363722,5.007835790118656e-05,0.0038589793441502584,0.013285493772608906,0.0,0.0,0.214482907192724
2021,LONGAVI,7.0,0.00010244572084224042,0.3974791522958086,0.04829974251975495,0.11227709518573409,0.0018337784030761034,0.002933362473449484,0.002427963583961098,0.011313422438344751,0.31091934789883824,0.002270880145336329,0.011576366455173168,0.012532526516367411,0.031119595134511232,0.032652866089783426,0.011122190426105901,0.009588919470833703,6.146743250534426e-05,0.0010927543556505644,0.0,0.0,0.0,0.3464368988573314
