Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021
CARTAGENA,3.114507454021496e-06,7.554432486445015e-05,4.983211926434393e-07,0.0,0.0,7.516133777596343e-05,0.007844775144219326,4.6766275989291524e-07,8.098206022245582e-06,0.0,0.05701445375898837,0.07844101923967466,0.00013464210380450804,2.453161261831619e-06,0.03199166774263572,0.0005728868808688212,3.521388654382023e-05,9.854496241239893e-07,2.0560615614438786e-06,1.2458029816085983e-07,0.01978983779635933,1.490340480928255e-05,4533100,5.0,0.1960079035707186
CASABLANCA,2.7175708695297137e-07,2.3651388131829e-05,3.136775383180871e-06,0.0,0.0,0.00013983342402542451,0.20105746542909766,0.018445739565039334,0.0007865595905975217,0.0,0.0029912461775745717,0.0045460113975027,0.0005314495012555369,1.5548757719975236e-07,1.2280233055797699e-05,0.015530809324744457,1.0248556506833779e-05,1.5013243992123942e-08,4.831237101386158e-07,0.0001511715102602262,0.006202998986683578,0.0,44887500,5.0,0.25043352724147694
CASTRO,5.7621625124560876e-05,0.0009839035798459893,0.0011216817441900907,0.0,0.0,0.004634125061453649,0.00017978251649417322,0.0032506542841714177,0.00025166301104265226,9.495341469109844e-11,0.014545925845519865,0.11554156434756922,0.00380347686263958,4.652717319863824e-07,1.191095633885139e-06,0.016816521688373214,0.00017691957608782191,1.0783764353053361e-05,0.00012776931480834206,2.3738353672774616e-09,0.008390083722105458,0.0,10262300,10.0,0.1698941357799337
CATEMU,2.6971987770091583e-07,4.424080293989272e-06,6.742996942522897e-10,0.0,0.0,0.00023155181780745924,1.880554417300211e-05,0.023559978047499153,0.00022294033641216327,0.0,0.004147212839529283,0.16500346084318074,0.0016200050154411257,0.0,0.07466758474817706,5.947930173030021e-05,1.3654568808608863e-06,0.0,9.07337668585881e-06,6.742996942522897e-10,0.00017884113640806353,6.742996942522897e-10,3851000,5.0,0.26972499428699576
CAUQUENES,1.376629878986618e-06,0.0003150363572001785,0.0008780574123883641,0.0,0.0,0.00043554600086203335,0.00012958393414077023,0.0005875704353705849,6.542014403644149e-05,0.0,0.12929677749877885,0.08689087377798174,0.005328147170775325,1.4358330652716927e-06,0.0011357663895215535,0.004386276201868865,9.971062953275642e-07,1.865149644553667e-05,3.894946466123297e-07,0.0,0.0027508922537132683,0.0,4005800,7.0,0.23222279813696975
CERRILLOS,2.994693071379208e-08,1.8516831367632496e-05,1.3464683410004345e-06,0.0,0.0,0.002322006723921399,0.001082202149872931,0.0002574715658227407,0.00020750455806135086,0.0,0.00031042344986827316,0.1177928622322755,0.0029701367409843615,8.423433709607416e-07,0.00032820256829641756,0.1311892306270628,0.00038925127733846016,1.8931349505927013e-05,1.3179347220677775e-06,0.00034641922847572363,0.0017999236103907988,0.0,64720500,13.0,0.259036619606609
CERRO NAVIA,1.8049495326083183e-06,0.0002373227865452644,3.389294122342287e-05,0.0,0.0,0.00044632002376917976,8.634928701485212e-07,4.7254080138555946e-05,7.297122669785086e-05,1.2534371754224434e-10,0.0001640418355213667,0.420856952058936,0.002786544387018081,1.3649930840350412e-07,3.7916474556528914e-05,0.022449647548507517,1.8579072532699166e-05,7.099969536462889e-06,2.2172050196047597e-06,2.5382102802304482e-05,0.0031060779870561053,5.013748701689774e-10,8932000,13.0,0.4502950252682907
CHAITEN,1.2530630429939854e-06,0.03678380485631544,0.0,0.0,0.0,3.5642682111828916e-05,0.00023404433058587658,3.5642682111828916e-05,3.4807306749832922e-06,0.0,0.03154600133660058,0.24776620628202273,0.0024259300512363556,0.0,0.0001906048117620851,5.012252171975942e-06,4.0237246602806854e-05,0.0,2.2276676319893072e-06,0.0,0.0012565437736689685,0.0,268000,10.0,0.3203266317665404
CHANARAL,0.0,0.0004807803234629739,1.1126930452210164e-05,0.0,0.0,0.0013957621559252428,8.879785031106031e-06,0.00021803640571811789,0.00012363256058011294,0.0,0.0011156622047959084,0.020306630272194825,0.26953664470678085,1.978120969281807e-09,0.01058288586390762,0.0012659974203403565,2.6160649818751895e-05,1.2659974203403566e-05,3.164993550850891e-08,0.0,0.00436807881188421,0.0,2248400,3.0,0.3094529716931521
CHANCO,0.0,0.00021349120979832423,0.00033536148084942094,0.0,0.0,9.488498213258857e-07,1.3701391419945787e-05,6.072638856485666e-07,3.8864888681508264e-05,0.0,0.02768045425160438,0.4060865072454742,0.0008313442594528878,0.0,8.53964839193297e-06,4.64936412449684e-05,0.0006917115197465707,7.685683552739672e-05,6.072638856485666e-07,0.0,0.006103040004760949,0.0,513300,7.0,0.4421285297545451
