region_id,Comuna,riqueza_2021
6.0,LOLOL,2905400
9.0,LONCOCHE,2175800
7.0,LONGAVI,3516400
9.0,LONQUIMAY,280800
8.0,LOS ALAMOS,1245100
5.0,LOS ANDES,20512400
8.0,LOS ANGELES,76031900
14.0,LOS LAGOS,3176300
10.0,LOS MUERMOS,2074600
9.0,LOS SAUCES,781500
4.0,LOS VILOS,2786800
8.0,LOTA,5028800
9.0,LUMACO,1130100
6.0,MACHALI,11108800
13.0,MACUL,79653800
14.0,MAFIL,841000
13.0,MAIPU,115495200
6.0,MALLOA,2937900
6.0,MARCHIGUE,2669500
2.0,MARIA ELENA,683500
13.0,MARIA PINTO,7054200
14.0,MARIQUINA,3376900
7.0,MAULE,13255700
10.0,MAULLIN,1622400
2.0,MEJILLONES,10205200
9.0,MELIPEUCO,318400
13.0,MELIPILLA,44347100
7.0,MOLINA,10479900
4.0,MONTE PATRIA,4337500
8.0,MULCHEN,3144300
8.0,NACIMIENTO,4271000
6.0,NANCAGUA,5670500
6.0,NAVIDAD,795800
8.0,NEGRETE,1956000
16.0,NINHUE,99900
16.0,NIQUEN,380000
5.0,NOGALES,4991700
9.0,NUEVA IMPERIAL,3294000
13.0,NUNOA,137338500
11.0,OHIGGINS,19400
6.0,OLIVAR,12891400
2.0,OLLAGUE,19100
5.0,OLMUE,3344300
10.0,OSORNO,82168500
4.0,OVALLE,20916000
13.0,P AGUIRRE CERDA,25349900
13.0,PADRE HURTADO,15009500
9.0,PADRE LAS CASAS,14721100
4.0,PAIHUANO,566800
14.0,PAILLACO,4549900
13.0,PAINE,41572300
10.0,PALENA,116000
6.0,PALMILLA,7519700
14.0,PANGUIPULLI,10626200
5.0,PANQUEHUE,5086500
5.0,PAPUDO,2119700
6.0,PAREDONES,210000
7.0,PARRAL,7517200
7.0,PELARCO,1419200
7.0,PELLUHUE,1721200
16.0,PEMUCO,1268800
13.0,PENAFLOR,18846800
13.0,PENALOLEN,35316900
7.0,PENCAHUE,2506200
8.0,PENCO,10778500
6.0,PERALILLO,3111100
9.0,PERQUENCO,705200
5.0,PETORCA,515900
6.0,PEUMO,4752700
1.0,PICA,415100
6.0,PICHIDEGUA,6302800
6.0,PICHILEMU,2643000
16.0,PINTO,1464700
13.0,PIRQUE,16041900
9.0,PITRUFQUEN,2461500
6.0,PLACILLA,3132900
16.0,PORTEZUELO,241600
12.0,PORVENIR,6197600
1.0,POZO ALMONTE,4414300
12.0,PRIMAVERA,87100
13.0,PROVIDENCIA,878202600
5.0,PUCHUNCAVI,3531000
9.0,PUCON,9470100
13.0,PUDAHUEL,204824200
13.0,PUENTE ALTO,46292500
10.0,PUERTO MONTT,157153600
12.0,PUERTO NATALES,7525900
10.0,PUERTO OCTAY,4217400
10.0,PUERTO VARAS,47730700
6.0,PUMANQUE,375800
4.0,PUNITAQUI,967700
12.0,PUNTA ARENAS,63165400
10.0,PUQUELDON,303700
9.0,PUREN,1342800
10.0,PURRANQUE,6539900
5.0,PUTAENDO,1278400
15.0,PUTRE,30000
10.0,PUYEHUE,3620200
10.0,QUEILEN,297500
10.0,QUELLON,6603300
10.0,QUEMCHI,733400
8.0,QUILACO,168600
13.0,QUILICURA,298728400
8.0,QUILLECO,721500
16.0,QUILLON,1702600
5.0,QUILLOTA,27565300
5.0,QUILPUE,28443600
10.0,QUINCHAO,538100
13.0,QUINTA NORMAL,58381800
6.0,QUINTA TILCOCO,1906800
5.0,QUINTERO,8088600
16.0,QUIRIHUE,932000
6.0,RANCAGUA,85890200
16.0,RANQUIL,2399200
7.0,RAUCO,2883900
13.0,RECOLETA,140873600
9.0,RENAICO,803300
13.0,RENCA,106780900
6.0,RENGO,22014400
6.0,REQUINOA,20475900
7.0,RETIRO,2014600
5.0,RINCONADA,1862800
14.0,RIO BUENO,4734000
7.0,RIO CLARO,2671400
4.0,RIO HURTADO,125000
