region_id,Comuna,antagonism_2022
4,PUNITAQUI,0.09986538260762501
12,PUNTA ARENAS,0.0710539353169834
10,PUQUELDON,0.057782729061022595
9,PUREN,0.06860887428226639
10,PURRANQUE,0.044521035082437696
5,PUTAENDO,0.0467006345414332
15,PUTRE,0.0885989354137849
10,PUYEHUE,0.045544935794806
10,QUEILEN,0.0648173785257347
10,QUELLON,0.0448892459614059
10,QUEMCHI,0.1459277273760043
8,QUILACO,0.0482821068058816
13,QUILICURA,0.0686734455738849
8,QUILLECO,0.061369779628085
16,QUILLON,0.0510840620889476
5,QUILLOTA,0.0683694859392158
5,QUILPUE,0.0553928370372471
10,QUINCHAO,0.12355581127898671
6,QUINTA DE TILCOCO,0.048582255956802003
13,QUINTA NORMAL,0.061467095201556604
5,QUINTERO,0.0591864197418763
16,QUIRIHUE,0.0466890544973853
6,RANCAGUA,0.061352806998855106
16,RANQUIL,0.0692622313990194
7,RAUCO,0.044175017842512196
13,RECOLETA,0.07074332372400721
9,RENAICO,0.06812275846330751
13,RENCA,0.064979957863643
6,RENGO,0.0536473610804509
6,REQUINOA,0.0538048188721464
7,RETIRO,0.0526236512866351
5,RINCONADA,0.042962028430535704
14,RIO BUENO,0.0789237490044398
7,RIO CLARO,0.0432281408693738
4,RIO HURTADO,0.0695087759522485
11,RIO IBAÑEZ,0.1338718408188663
10,RIO NEGRO,0.0591550525148148
12,RIO VERDE,0.0289110539480709
7,ROMERAL,0.0767264639515162
9,SAAVEDRA,0.0752540443898276
7,SAGRADA FAMILIA,0.0812266995250717
4,SALAMANCA,0.06423347728837289
5,SAN ANTONIO,0.07234360310410029
13,SAN BERNARDO,0.06624202014421571
16,SAN CARLOS,0.0554107403360455
7,SAN CLEMENTE,0.060293560901978405
5,SAN ESTEBAN,0.07746152740955409
16,SAN FABIAN,0.0744872082091877
5,SAN FELIPE,0.049383329728801204
6,SAN FERNANDO,0.06440073763620541
12,SAN GREGORIO,0.0671239673931033
16,SAN IGNACIO,0.046125007727562395
7,SAN JAVIER,0.0585353485616242
13,SAN JOAQUIN,0.0596865999585483
13,SAN JOSE DE MAIPO,0.0913704181092031
10,SAN JUAN DE LA COSTA,0.0931074795466473
13,SAN MIGUEL,0.0621737650545067
16,SAN NICOLAS,0.0430778215725521
10,SAN PABLO,0.13836600657460899
13,SAN PEDRO,0.1017895730330575
2,SAN PEDRO DE ATACAMA,0.07800486217207411
8,SAN PEDRO DE LA PAZ,0.06354476346852089
7,SAN RAFAEL,0.0705328848924901
13,SAN RAMON,0.0555341390479552
8,SAN ROSENDO,0.0499043570289944
6,SAN VICENTE,0.0610816353845855
8,SANTA BARBARA,0.054700616594667004
6,SANTA CRUZ,0.0612683183656314
8,SANTA JUANA,0.059404236969238494
5,SANTA MARIA,0.053686516413603294
13,SANTIAGO,0.0794256092186886
