Comuna,Poblacion 2021_hombre,Poblacion 2021_mujer,Poblacion 2022_hombre,Poblacion 2022_mujer
Contulmo,0.4923234390992835,0.5076765609007164,0.49185999185999185,0.5081400081400081
Copiapó,0.5004805926527933,0.4995194073472067,0.5000891258689772,0.49991087413102275
Coquimbo,0.4816801259586571,0.5183198740413428,0.48145734891817954,0.5185426510818204
Coronel,0.479706385793945,0.520293614206055,0.4793248330802671,0.5206751669197329
Corral,0.49420491423273066,0.5057950857672694,0.49398148148148147,0.5060185185185185
Coyhaique,0.49234266042898756,0.5076573395710124,0.4915525014225062,0.5084474985774937
Cunco,0.4946122217496101,0.5053877782503899,0.4947033898305085,0.5052966101694916
Curacautín,0.4774870594908885,0.5225129405091116,0.4775213494248006,0.5224786505751994
Curacaví,0.4952041751886593,0.5047958248113407,0.49557122512070584,0.5044287748792942
Curaco de Vélez,0.4887242268041237,0.5112757731958762,0.48835725677830943,0.5116427432216906
Curanilahue,0.4838621869653134,0.5161378130346865,0.48379100662302954,0.5162089933769705
Curarrehue,0.49791883454734653,0.5020811654526535,0.49827645639434676,0.5017235436056532
Curepto,0.49733662465895806,0.502663375341042,0.49713093375065204,0.5028690662493479
Curicó,0.4843958157610538,0.5156041842389462,0.48422548775941343,0.5157745122405866
Dalcahue,0.493409642733264,0.5065903572667361,0.49301089100420203,0.506989108995798
Diego de Almagro,0.5100980392156863,0.48990196078431375,0.5098638784770172,0.49013612152298286
Doñihue,0.49784594175426505,0.502154058245735,0.49779086892488955,0.5022091310751104
El Bosque,0.4907289680016953,0.5092710319983047,0.49096394675399496,0.509036053246005
El Carmen,0.48529716297370057,0.5147028370262995,0.48489238410596025,0.5151076158940397
El Monte,0.4941094941094941,0.5058905058905059,0.4945897644191714,0.5054102355808286
El Quisco,0.49001248439450684,0.5099875156054932,0.49030282408982645,0.5096971759101735
El Tabo,0.4945528249303268,0.5054471750696732,0.4944863609982589,0.5055136390017412
Empedrado,0.5061804697156984,0.4938195302843016,0.5055589870290302,0.49444101297096976
Ercilla,0.4871835950016021,0.512816404998398,0.48664213725803873,0.5133578627419613
Estación Central,0.5022679061104117,0.49773209388958833,0.5025290243736845,0.4974709756263154
Florida,0.49353762768396914,0.5064623723160309,0.4936708860759494,0.5063291139240507
Freire,0.4924238585111235,0.5075761414888765,0.49235196122974406,0.507648038770256
Freirina,0.5066086956521739,0.4933913043478261,0.5063815108658158,0.4936184891341842
Fresia,0.5008008008008008,0.4991991991991992,0.5007484283005688,0.4992515716994312
Frutillar,0.4950532967383673,0.5049467032616327,0.495364238410596,0.5046357615894039
Futaleufú,0.5118145341061079,0.4881854658938921,0.5112087912087913,0.4887912087912088
Futrono,0.4927118792004888,0.5072881207995112,0.49246843709185895,0.507531562908141
Galvarino,0.4952835188129306,0.5047164811870695,0.49513947590870666,0.5048605240912933
General Lagos,0.5542347696879644,0.4457652303120357,0.555886736214605,0.44411326378539495
Gorbea,0.48621637378196053,0.5137836262180395,0.48632926119837117,0.5136707388016288
Graneros,0.498434769947583,0.501565230052417,0.4984396857849995,0.5015603142150006
Guaitecas,0.5380116959064327,0.4619883040935672,0.5389072847682119,0.4610927152317881
Hijuelas,0.49522314726354577,0.5047768527364542,0.4953619066964588,0.5046380933035411
Hualaihué,0.5137005258787711,0.48629947412122887,0.5133278373179445,0.4866721626820555
Hualañé,0.4961869618696187,0.5038130381303813,0.4961392327491114,0.5038607672508886
Hualpén,0.47544060903118157,0.5245593909688184,0.4751838354494404,0.5248161645505596
Hualqui,0.4787180771156735,0.5212819228843265,0.4780127059757792,0.5219872940242207
Huara,0.5229074889867842,0.47709251101321587,0.5228758169934641,0.477124183006536
Huasco,0.505795574288725,0.49420442571127504,0.5055619930475087,0.4944380069524913
Huechuraba,0.48866361197502434,0.5113363880249757,0.4890649317216443,0.5109350682783557
Illapel,0.48182400512450957,0.5181759948754905,0.48173816067232245,0.5182618393276776
Independencia,0.49997504076674765,0.5000249592332524,0.5004088708622269,0.49959112913777315
Iquique,0.5003594825751606,0.4996405174248394,0.5000369576465371,0.49996304235346295
Isla de Maipo,0.49563054364546855,0.5043694563545315,0.495906658931219,0.504093341068781
Isla de Pascua,0.48940208794685225,0.5105979120531478,0.48947042427996285,0.5105295757200372
Juan Fernández,0.5201465201465202,0.47985347985347987,0.5203836930455635,0.47961630695443647
La Cisterna,0.48943875217837324,0.5105612478216268,0.4898768472906404,0.5101231527093596
La Cruz,0.4805872925606162,0.5194127074393837,0.48074989947728186,0.5192501005227181
La Estrella,0.5139489194499017,0.4860510805500982,0.5137470542026709,0.48625294579732914
La Florida,0.4854682353528296,0.5145317646471704,0.4859959939754359,0.5140040060245641
La Granja,0.4915147309318024,0.5084852690681976,0.49201835250338294,0.507981647496617
La Higuera,0.5067024128686327,0.4932975871313673,0.5066469719350074,0.4933530280649926
La Ligua,0.48841178277639347,0.5115882172236065,0.48846349313908183,0.5115365068609182
La Pintana,0.49297240646624746,0.5070275935337526,0.4932587492828457,0.5067412507171544
La Reina,0.4779529243039917,0.5220470756960083,0.47863441672965484,0.5213655832703452
La Serena,0.48024491562986404,0.519755084370136,0.48008547785759753,0.5199145221424025
La Unión,0.4827529781384998,0.5172470218615002,0.4824844396650047,0.5175155603349952
Lago Ranco,0.4965986394557823,0.5034013605442177,0.49673366834170857,0.5032663316582915
Lago Verde,0.5327102803738317,0.4672897196261682,0.5312084993359893,0.46879150066401065
Laguna Blanca,0.6183574879227053,0.38164251207729466,0.625,0.375
Laja,0.4824787496572525,0.5175212503427474,0.48255909165347455,0.5174409083465255
Lampa,0.4978793312645628,0.5021206687354371,0.4980553244592346,0.5019446755407654
Lanco,0.4794336810730253,0.5205663189269747,0.4789928376282951,0.521007162371705
Las Cabras,0.5072822465492622,0.49271775345073776,0.5071660166345566,0.4928339833654434
Las Condes,0.47833157078908867,0.5216684292109114,0.4788766692570217,0.5211233307429783
Lautaro,0.4825040650406504,0.5174959349593496,0.4822204344328238,0.5177795655671762
Lebu,0.48387255869007695,0.516127441309923,0.48394225103123156,0.5160577489687684
Licantén,0.4982786736727668,0.5017213263272332,0.4982842694599964,0.5017157305400036
Limache,0.4816220122864075,0.5183779877135924,0.4813152054689692,0.5186847945310308
Linares,0.47552339703633256,0.5244766029636675,0.4748677248677249,0.5251322751322751
Litueche,0.5033654720756776,0.49663452792432233,0.5033339340421698,0.49666606595783025
Llaillay,0.4901623216920807,0.5098376783079194,0.49036027263875365,0.5096397273612463
Llanquihue,0.4955091888904242,0.5044908111095758,0.495580072637566,0.504419927362434
Lo Barnechea,0.47236708321033816,0.5276329167896618,0.4732014873093711,0.5267985126906288
Lo Espejo,0.49673960476279533,0.5032603952372047,0.49687468621347525,0.5031253137865247
Lo Prado,0.49066344993968636,0.5093365500603136,0.4908927857290013,0.5091072142709987
Lolol,0.5078720162519045,0.49212798374809547,0.5079684616675054,0.4920315383324945
Loncoche,0.48571276821754833,0.5142872317824516,0.4856191181135667,0.5143808818864334
Longaví,0.49963108228806646,0.5003689177119335,0.49951921227739526,0.5004807877226047
Lonquimay,0.5057845263919016,0.4942154736080983,0.505756776205325,0.494243223794675
Los Andes,0.48567274953135164,0.5143272504686484,0.485569793528271,0.514430206471729
Los Angeles,0.47949644621129983,0.5205035537887002,0.479124904543719,0.5208750954562811
Los Lagos,0.49170389278876836,0.5082961072112316,0.49157499841037705,0.5084250015896229
Los Muermos,0.5098039215686274,0.49019607843137253,0.5097493036211699,0.49025069637883006
Los Sauces,0.4942627162185306,0.5057372837814694,0.4943628288349846,0.5056371711650154
Los Vilos,0.4976877339792997,0.5023122660207003,0.497855940943386,0.502144059056614
Los Álamos,0.48145687364097606,0.5185431263590239,0.48116653691837835,0.5188334630816217
Lota,0.48267319764659516,0.5173268023534049,0.48255699547409553,0.5174430045259045
Lumaco,0.5023709167544784,0.4976290832455216,0.5022386094284962,0.4977613905715038
Machalí,0.49375548504691824,0.5062445149530818,0.4935512930371542,0.5064487069628458
Macul,0.4860385760705267,0.5139614239294733,0.48648090259063637,0.5135190974093636
Maipú,0.4852331388853316,0.5147668611146684,0.4853378011428974,0.5146621988571026
Malloa,0.501788908765653,0.49821109123434704,0.5017787264318748,0.49822127356812523
Marchihue,0.5075523794055546,0.49244762059444536,0.5074337427278603,0.49256625727213965
Mariquina,0.48875302803091475,0.5112469719690852,0.4878869064584165,0.5121130935415835
María Elena,0.5212890625,0.4787109375,0.5208127835865062,0.47918721641349377
María Pinto,0.4978888410168031,0.5021111589831969,0.49711179068977235,0.5028882093102277
Maule,0.4807705336374517,0.5192294663625483,0.4802198518389781,0.5197801481610219
Maullín,0.5049945437757072,0.4950054562242928,0.5050691244239631,0.4949308755760369
Mejillones,0.532816852367688,0.467183147632312,0.5318767602628659,0.4681232397371341
Melipeuco,0.4943659086252817,0.5056340913747183,0.494299674267101,0.505700325732899
Melipilla,0.4955185425441522,0.5044814574558478,0.49579453559786035,0.5042054644021396
Molina,0.4860006198987499,0.5139993801012501,0.48571864976325035,0.5142813502367497
Monte Patria,0.4904941424459848,0.5095058575540151,0.49055613850996854,0.5094438614900315
Mostazal,0.5003577732194819,0.49964222678051806,0.5003530242409979,0.49964697575900213
Mulchén,0.4883326262197709,0.5116673737802291,0.48848899590250494,0.5115110040974951
Máfil,0.49415308291991494,0.505846917080085,0.49425693585439123,0.5057430641456088
Nacimiento,0.48923512747875353,0.5107648725212465,0.4891646688290321,0.5108353311709679
Nancagua,0.49812181379125303,0.501878186208747,0.4978446846607865,0.5021553153392134
Natales,0.507582988652031,0.49241701134796906,0.5077486910994764,0.49225130890052354
Navidad,0.5086251960271825,0.4913748039728176,0.5089500860585198,0.49104991394148023
Negrete,0.4893483709273183,0.5106516290726817,0.4893564048300759,0.5106435951699241
Ninhue,0.4870144794300161,0.5129855205699839,0.48679071904433724,0.5132092809556628
Nogales,0.48874651810584957,0.5112534818941504,0.48882604114678646,0.5111739588532136
Nueva Imperial,0.48424919878058315,0.5157508012194169,0.4840601095018056,0.5159398904981943
O'Higgins,0.5515267175572519,0.4484732824427481,0.5480225988700564,0.4519774011299435
Olivar,0.5005793742757821,0.49942062572421786,0.5005294740557713,0.49947052594422875
Ollagüe,0.5333333333333333,0.4666666666666667,0.5315315315315315,0.46846846846846846
Olmué,0.4911856881692348,0.5088143118307652,0.49106568967733644,0.5089343103226636
Osorno,0.48389514776387466,0.5161048522361253,0.48375018390466384,0.5162498160953362
Ovalle,0.4830174761073083,0.5169825238926917,0.4831435324452084,0.5168564675547915
Padre Hurtado,0.4923468492188871,0.5076531507811128,0.49249187617581663,0.5075081238241833
Padre Las Casas,0.48121744791666665,0.5187825520833333,0.4807840616966581,0.5192159383033419
Paiguano,0.49474251819897547,0.5052574818010246,0.4944995975315267,0.5055004024684733
Paillaco,0.48613366645846345,0.5138663335415365,0.48588835011811515,0.5141116498818848
Paine,0.49904385618332675,0.5009561438166733,0.49929379627186515,0.5007062037281348
Palena,0.5034153005464481,0.49658469945355194,0.5061475409836066,0.49385245901639346
Palmilla,0.5041532943175382,0.49584670568246175,0.5040216984661429,0.4959783015338571
Panguipulli,0.4909283007869426,0.5090716992130574,0.4907185845841491,0.5092814154158509
Panquehue,0.4924229524944662,0.5075770475055338,0.49206884913938576,0.5079311508606142
Papudo,0.49785232153814685,0.5021476784618532,0.4979806138933764,0.5020193861066236
Paredones,0.5141980046047583,0.48580199539524177,0.5136328725038403,0.48636712749615973
Parral,0.48176438004722894,0.518235619952771,0.4814301392017559,0.5185698607982441
Pedro Aguirre Cerda,0.4927257017420952,0.5072742982579048,0.49305278006347714,0.5069472199365228
Pelarco,0.4929597100237,0.5070402899763,0.4922843758611188,0.5077156241388813
Pelluhue,0.4931828866948754,0.5068171133051246,0.4929686292690465,0.5070313707309535
Pemuco,0.4813427244118088,0.5186572755881912,0.4812986235786954,0.5187013764213046
Pencahue,0.5016110134739309,0.4983889865260691,0.5013858497447119,0.4986141502552881
Penco,0.4787088444157521,0.5212911555842479,0.4784653338130236,0.5215346661869764
Peralillo,0.5053945419928073,0.49460545800719274,0.505338078291815,0.49466192170818507
Perquenco,0.49442311208630463,0.5055768879136954,0.49436363636363634,0.5056363636363637
Petorca,0.49369066218002644,0.5063093378199736,0.4937813920114805,0.5062186079885195
Peumo,0.503685293109359,0.49631470689064106,0.503581784069589,0.4964182159304111
Peñaflor,0.4886131595718392,0.5113868404281608,0.4891751059444096,0.5108248940555904
Peñalolén,0.4886810139247085,0.5113189860752916,0.48917799034291803,0.5108220096570819
Pica,0.5036609718216108,0.49633902817838915,0.5036002618372245,0.4963997381627755
Pichidegua,0.5050103873884884,0.4949896126115117,0.5048820425738371,0.4951179574261629
Pichilemu,0.5007015574575557,0.4992984425424442,0.500758934731613,0.4992410652683869
Pinto,0.48303119730185495,0.516968802698145,0.4824598037168511,0.5175401962831488
Pirque,0.49985247629083246,0.5001475237091676,0.500309061688713,0.4996909383112869
Pitrufquen,0.47758765225109717,0.5224123477489028,0.47728273096297746,0.5227172690370225
Placilla,0.5005538631957906,0.49944613680420935,0.5008255365987893,0.4991744634012108
Portezuelo,0.48884381338742394,0.5111561866125761,0.48756976154236426,0.5124302384576357
Porvenir,0.5486481832271397,0.45135181677286035,0.5481569560047562,0.4518430439952438
Pozo Almonte,0.5369302472549174,0.46306975274508255,0.5362060962401362,0.46379390375986385
Primavera,0.5866900175131349,0.4133099824868651,0.5845070422535211,0.4154929577464789
Providencia,0.4808391122435684,0.5191608877564317,0.48142923633239054,0.5185707636676095
Puchuncaví,0.49293364598517014,0.5070663540148298,0.49292967046657943,0.5070703295334206
Pucón,0.4895138858227736,0.5104861141772263,0.48914989302711437,0.5108501069728857
Pudahuel,0.4877686263857354,0.5122313736142645,0.48805786677232227,0.5119421332276777
Puente Alto,0.4863197762451236,0.5136802237548763,0.48678395496129484,0.5132160450387051
Puerto Montt,0.49319283804050806,0.5068071619594919,0.4930335080136174,0.5069664919863826
Puerto Octay,0.5102840352595495,0.48971596474045054,0.5101356074374388,0.48986439256256115
Puerto Varas,0.49289048666630897,0.507109513333691,0.4927578215527231,0.5072421784472769
