Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021,HHI_2022
FUTRONO,4.693454576042595e-07,0.0008700636280048096,1.7745314369296845e-06,0.0,0.0,4.2358427548784425e-05,0.0006139168959201938,0.01264062625656744,0.00043026955106452214,0.0,0.2367822121015117,0.03110711020183251,0.0056275693730394715,0.0,6.821298843557707e-05,0.0007740737903421906,2.2273628876923127e-05,4.1864455940626857e-07,0.0,6.388313172946865e-07,0.0005658582388168639,0.0,2627400,14.0,0.2895478464347322,0.2895478464347322
GALVARINO,2.52861581131779e-06,4.181768637294888e-05,2.52861581131779e-06,0.0,0.0,4.319999634980259e-05,6.491237744965135e-05,6.321539528294475e-05,2.52861581131779e-06,0.0,0.13268036006904763,0.150708244497909,0.00018412818423391408,1.7981267991593172e-07,0.0,0.0038197719977466323,1.011446324527116e-05,1.1238292494745732e-08,0.0,0.0,0.018992714316120287,0.0,943300,9.0,0.30661625588216446,0.30661625588216446
GENERAL LAGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100,15.0,2.0,2.0
GORBEA,7.458609880251945e-09,4.7140279095662345e-05,3.7759212518775463e-06,0.0,0.0,0.00015358955930661806,1.1933775808403112e-07,8.459741791428761e-05,7.400805653679992e-06,0.0,0.02791228303342052,0.014786425577643791,0.0012938618377995351,2.2841992758271583e-06,0.0,0.34346746342918644,6.712748892226749e-08,4.661631175157465e-08,2.983443952100778e-08,0.0,0.002867089637968847,1.8646524700629863e-09,2315800,9.0,0.3906261839377777,0.3906261839377777
GRANEROS,1.5139489187484817e-07,3.426600957931224e-05,2.1962651366282913e-05,0.0,0.0,0.010958706090088801,0.0002664956807225377,0.0005736483288229741,0.0004717647252319615,0.0,0.11331818868400984,0.094549350499395,0.0008986568269042232,6.055795674993927e-07,0.0,0.012189895105715724,3.062288775898163e-07,1.944583277859161e-07,4.672681847989141e-08,1.913930484936352e-08,0.0012783130494453461,7.476290956782625e-11,11565300,6.0,0.23456257125383295,0.23456257125383295
GUAITECAS,0.0,0.0024245462234179496,0.0,0.0,0.0,0.0,0.016057899673913214,0.0,0.0,0.0,0.01680036452087684,0.02034909480636402,0.0,0.0,0.0,0.00011797640576752567,0.00013423093278438472,0.0,0.0,0.0,0.28018662294373686,0.0,138100,11.0,0.3360707355068608,0.3360707355068608
HIJUELAS,4.168503516004117e-10,3.1753992383512964e-05,0.0,0.0,0.0,7.725497987469221e-05,0.0022397886285926106,0.00019105460479866513,0.0006739270698491928,0.0,0.14027876388302224,0.11322629353573559,0.00041518461759541646,7.707563001091613e-07,2.1196944591468837e-05,0.0012555366892189643,5.253356556044189e-07,5.106416807105043e-09,6.002645063045929e-08,4.168503516004117e-10,0.015646062034883144,0.0,9795800,5.0,0.27405817903906937,0.27405817903906937
HUALAIHUE,5.602044746332411e-08,0.0003496236126186058,1.4005111865831028e-08,0.0,0.0,0.001090171912748153,1.4005111865831028e-08,0.0006117572914113651,0.0006059171597633136,0.0,0.015002625958474843,0.1836299989496166,0.007669199257729072,0.0,0.0,0.01309602604950807,1.917299814432268e-05,1.4005111865831028e-08,5.602044746332411e-08,0.0,0.019932761457932147,0.0,845000,10.0,0.24200740870417706,0.24200740870417706
HUALANE,3.120424579946385e-06,8.276146092162802e-05,6.31885977439143e-05,0.0,0.0,0.00010862197962793368,0.010406811000657441,0.001204866139870348,4.126761506979094e-06,0.0,0.14303654943949218,0.058866879910241615,0.0035966091719076532,0.0,0.0001755238826219842,0.002446412870677966,0.00036060406552005416,4.6252493336255294e-05,7.801061449865964e-09,0.0,0.0039214453706800725,0.0,1132200,7.0,0.22432378137044742,0.22432378137044742
HUALPEN,3.645307911236266e-05,0.0005244292823877979,0.0027491895232522336,0.0,0.0,0.0007438211117871868,0.0009929559490096456,0.0005420341803336892,0.011790092430296585,0.0,7.501701497952676e-05,0.09677508617734393,0.01673637937060104,9.715214521302031e-06,9.646527688135536e-05,0.02298670821458953,3.5712250635864764e-05,1.1345144021369341e-06,8.360085779786674e-05,0.003192549957713394,0.0017316564410422342,1.257079669957822e-10,17838100,8.0,0.1591030009723957,0.1591030009723957
