region_id,Comuna,Edad_Tramo1_2022,Edad_Tramo2_2022
13,Providencia,0.26680425078908543,0.7331957492109146
5,Puchuncaví,0.2645288858321871,0.735471114167813
9,Pucón,0.27277260638297873,0.7272273936170213
13,Pudahuel,0.29591711246387503,0.7040828875361249
13,Puente Alto,0.29830206616045535,0.7016979338395446
10,Puerto Montt,0.29266448784005394,0.7073355121599461
10,Puerto Octay,0.25318590704647675,0.7468140929535232
10,Puerto Varas,0.23542423241994057,0.7645757675800594
6,Pumanque,0.22517911975435004,0.77482088024565
4,Punitaqui,0.25360793746241733,0.7463920625375827
12,Punta Arenas,0.27859039509224925,0.7214096049077507
10,Puqueldón,0.22447257383966246,0.7755274261603375
10,Purranque,0.2617307038422305,0.7382692961577695
9,Purén,0.24106200030170463,0.7589379996982953
5,Putaendo,0.26824616002409396,0.731753839975906
15,Putre,0.43351222420989866,0.5664877757901013
10,Puyehue,0.2422268285460468,0.7577731714539532
10,Queilén,0.23230433426878702,0.767695665731213
10,Quellón,0.2667703362110569,0.733229663788943
10,Quemchi,0.22551988693720978,0.7744801130627902
8,Quilaco,0.25419881979119385,0.7458011802088061
13,Quilicura,0.2960319345550193,0.7039680654449807
8,Quilleco,0.266985822132204,0.733014177867796
5,Quillota,0.28775973459053605,0.712240265409464
16,Quillón,0.24433907489839365,0.7556609251016063
5,Quilpué,0.2939751186040356,0.7060248813959644
10,Quinchao,0.220952791549903,0.779047208450097
13,Quinta Normal,0.30081244677668073,0.6991875532233193
6,Quinta de Tilcoco,0.239378489924739,0.760621510075261
5,Quintero,0.2821319558581827,0.7178680441418174
16,Quirihue,0.233278955954323,0.766721044045677
6,Rancagua,0.2744723263060949,0.7255276736939051
7,Rauco,0.25863906226214034,0.7413609377378596
13,Recoleta,0.29803245536972267,0.7019675446302773
9,Renaico,0.2722328854766475,0.7277671145233525
13,Renca,0.2955120875530872,0.7044879124469128
6,Rengo,0.26943238377634227,0.7305676162236577
6,Requínoa,0.2594553706505295,0.7405446293494705
7,Retiro,0.23015609432082365,0.7698439056791764
5,Rinconada,0.2608054285292816,0.7391945714707184
7,Romeral,0.24869990822881616,0.7513000917711838
16,Ránquil,0.20521472392638038,0.7947852760736196
14,Río Bueno,0.24905680715748627,0.7509431928425138
7,Río Claro,0.25921219822109276,0.7407878017789072
4,Río Hurtado,0.2233948988566403,0.7766051011433597
11,Río Ibáñez,0.21423905943827565,0.7857609405617244
10,Río Negro,0.24003554201574004,0.7599644579842599
12,Río Verde,0.1780821917808219,0.821917808219178
9,Saavedra,0.238687443811807,0.7613125561881929
7,Sagrada Familia,0.25585429314830876,0.7441457068516912
4,Salamanca,0.23724474608561053,0.7627552539143895
5,San Antonio,0.2706343157932049,0.7293656842067952
13,San Bernardo,0.3013711751493063,0.6986288248506938
16,San Carlos,0.26530995616781466,0.7346900438321854
7,San Clemente,0.2782615167075984,0.7217384832924015
5,San Esteban,0.2599445712422563,0.7400554287577438
16,San Fabián,0.25944682508765093,0.7405531749123491
5,San Felipe,0.28633423072286734,0.7136657692771327
6,San Fernando,0.25226608977825854,0.7477339102217415
12,San Gregorio,0.2586605080831409,0.7413394919168591
16,San Ignacio,0.24986520004313598,0.750134799956864
7,San Javier,0.2782303370786517,0.7217696629213484
13,San Joaquín,0.3021386929493993,0.6978613070506007
13,San José de Maipo,0.26418563922942206,0.7358143607705779
10,San Juan de la Costa,0.1900806254580992,0.8099193745419008
13,San Miguel,0.27620387114058,0.72379612885942
16,San Nicolás,0.23900821680841863,0.7609917831915813
10,San Pablo,0.22922437673130194,0.7707756232686981
13,San Pedro,0.26964209325538285,0.7303579067446171
2,San Pedro de Atacama,0.2990692581439912,0.7009307418560088
8,San Pedro de la Paz,0.2737481833795746,0.7262518166204254
7,San Rafael,0.284086926042762,0.715913073957238
