Comuna,region_id,Poblacion 2021_1,Poblacion 2022_1,Poblacion 2021_2,Poblacion 2022_2,SUM Población 2021,SUM Población 2022
Canela,4,0.2315810434090004,0.22583885875025114,0.7684189565909996,0.7741611412497489,5022,4977
Carahue,9,0.2625907033551261,0.2563380281690141,0.7374092966448739,0.7436619718309859,13919,13845
Cartagena,5,0.2696523871339968,0.2642561097613263,0.7303476128660031,0.7357438902386737,13866,13994
Casablanca,5,0.2781441761770947,0.27268584448874966,0.7218558238229054,0.7273141555112503,17437,17555
Castro,10,0.24883536353911453,0.24260151410874053,0.7511646364608855,0.7573984858912595,28979,29060
Catemu,5,0.273117308343683,0.26785312007208834,0.726882691656317,0.7321468799279117,8857,8878
Cauquenes,7,0.24645005011693952,0.24114727899739255,0.7535499498830605,0.7588527210026075,23944,23778
Cañete,8,0.2645780600792779,0.25807377637433615,0.7354219399207221,0.7419262236256638,20939,20901
Cerrillos,13,0.31096160157532,0.30111374840241006,0.6890383984246801,0.6988862515975899,54846,54770
Cerro Navia,13,0.31623015919227676,0.3063792189432762,0.6837698408077232,0.6936207810567238,85871,84885
Chaitén,10,0.21258558852298662,0.20769481578089338,0.7874144114770134,0.7923051842191067,3067,3067
Chanco,7,0.23215656178050653,0.22769588828549264,0.7678434382194935,0.7723041117145074,5212,5156
Chañaral,3,0.2812032121954539,0.2733269204342449,0.718796787804546,0.7266730795657551,7347,7277
Chiguayante,8,0.3026192026626149,0.29563686522196814,0.6973807973373851,0.7043631347780319,55284,55098
Chile Chico,11,0.20245602389644873,0.19474908607510802,0.7975439761035513,0.805250913924892,3013,3009
Chillán,16,0.2889260293032213,0.2823815742609522,0.7110739706967787,0.7176184257390479,117871,117922
Chillán Viejo,16,0.28318497024541384,0.27680749341399163,0.7168150297545861,0.7231925065860084,20333,20498
Chimbarongo,6,0.2553905341325937,0.2489358842242036,0.7446094658674063,0.7510641157757965,22354,22319
Cholchol,9,0.27549034286569846,0.26938042502244836,0.7245096571343015,0.7306195749775516,6679,6682
Chonchi,10,0.2441534144059869,0.2374571517606731,0.7558465855940131,0.7625428482393269,9621,9627
Chépica,6,0.24810071630128067,0.2415032679738562,0.7518992836987194,0.7584967320261438,9214,9180
Cisnes,11,0.2349833147942158,0.2254030016675931,0.7650166852057843,0.7745969983324069,3596,3598
Cobquecura,16,0.19575060954371298,0.19109855174849877,0.804249390456287,0.8089014482515012,2871,2831
Cochamó,10,0.20833333333333334,0.20289219982471515,0.7916666666666666,0.7971078001752848,2304,2282
Cochrane,11,0.25742574257425743,0.24774774774774774,0.7425742574257426,0.7522522522522522,2222,2220
Codegua,6,0.25970787317420735,0.2528096533774991,0.7402921268257927,0.7471903466225008,8421,8453
Coelemu,16,0.25862433862433865,0.2527694929697486,0.7413756613756614,0.7472305070302514,9450,9388
Coihueco,16,0.2827313092523701,0.27606478704259146,0.7172686907476299,0.7239352129574085,16666,16670
Coinco,6,0.25669642857142855,0.25,0.7433035714285714,0.75,4480,4472
Colbún,7,0.2755102040816326,0.26979969183359015,0.7244897959183674,0.7302003081664099,12936,12980
Colchane,1,0.2914798206278027,0.28295454545454546,0.7085201793721974,0.7170454545454545,892,880
Colina,13,0.27411341292134833,0.2648872756049098,0.7258865870786517,0.7351127243950902,113920,116257
Collipulli,9,0.27256756756756756,0.26635103145079475,0.7274324324324324,0.7336489685492052,14800,14785
Coltauco,6,0.27583407744135074,0.2690285529402249,0.7241659225586492,0.7309714470597751,12319,12363
Combarbalá,4,0.21168866145973605,0.2063728813559322,0.7883113385402639,0.7936271186440678,7426,7375
Concepción,8,0.3658689594146625,0.35797871987362023,0.6341310405853375,0.6420212801263798,151434,150657
Conchalí,13,0.3074488338886245,0.29776910944968155,0.6925511661113756,0.7022308905503184,84040,83061
