region_id,Comuna,antagonism_2022,HHI_2021,Coalición_DER_IND,Coalicion_DER,Votos LP,Edad_Tramo1_2021,Edad_Tramo2_2021,Poblacion 2021_hombre,Poblacion 2021_mujer,NO,riqueza_2021,T_Homicidio_2021
8,CABRERO,0.0471515417760581,0.2126658774838711,1.0,0.0,0.0,0.2699076110866696,0.7300923889133304,0.4867349951495213,0.5132650048504788,0.5478159266582779,6360300,0.0
2,CALAMA,0.0779586416110348,0.1135427302024007,0.0,0.0,0.1933573774021639,0.3030858464897274,0.6969141535102725,0.5006156256995746,0.4993843743004253,0.6150440386342508,34586300,4.1377241483
10,CALBUCO,0.0953439530873457,0.3530973575598798,1.0,0.0,0.0,0.2714338678283436,0.7285661321716563,0.5022546325653491,0.4977453674346508,0.3496946741903068,7141100,0.0
3,CALDERA,0.0540651030436812,0.2249135277405843,0.0,0.0,0.0,0.2781961471103327,0.7218038528896672,0.5107419864094996,0.4892580135905003,0.5361622073578596,3326000,5.0989190292
5,CALERA,0.059889860225072,0.2360719736759648,1.0,0.0,0.1902097111525634,0.2985253217773753,0.7014746782226247,0.4844897165361987,0.5155102834638012,0.667710843373494,12612000,1.8609498288
13,CALERA DE TANGO,0.0497986436277216,0.1856955267048524,1.0,1.0,0.1454277013933745,0.3008859419401571,0.6991140580598428,0.4973700915933617,0.5026299084066382,0.4412052117263844,11679100,0.0
5,CALLE LARGA,0.0537277748970885,0.1596305248937962,0.0,0.0,0.166634031721167,0.2796774522813106,0.7203225477186894,0.4891495133237594,0.5108504866762407,0.5670900055218111,3285700,0.0
15,CAMARONES,0.0862637839292576,0.3672358791518108,0.0,0.0,0.0,0.2083333333333333,0.7916666666666666,0.5170731707317073,0.4829268292682926,0.1485587583148558,7300,0.0
1,CAMIÑA,0.0448574620138986,0.7594444444444445,1.0,0.0,0.0,0.2918918918918919,0.7081081081081081,0.5239005736137667,0.4760994263862332,0.2690140845070422,6000,0.0
4,CANELA,0.0708090686319543,0.2038747625384233,0.0,0.0,0.3337837837837837,0.2315810434090004,0.7684189565909996,0.4947698744769874,0.5052301255230126,0.6606595783023969,479600,0.0
9,CARAHUE,0.0681691593155397,0.2974940699529009,1.0,1.0,0.6056743421052632,0.2625907033551261,0.7374092966448739,0.4960329726944874,0.5039670273055126,0.5106700492463812,966900,3.9207998432
5,CARTAGENA,0.0606797285419801,0.1960079035707186,0.0,0.0,0.1685210312075983,0.2696523871339968,0.7303476128660031,0.4918788851012632,0.5081211148987367,0.4825195901145268,4533100,7.7474336626
5,CASABLANCA,0.0475535449334788,0.2504335272414769,0.0,0.0,0.1709310967193969,0.2781441761770947,0.7218558238229054,0.491967516991791,0.508032483008209,0.4416747599007229,44887500,6.7668155366
10,CASTRO,0.0744938727677191,0.1698941357799337,1.0,1.0,0.0,0.2488353635391145,0.7511646364608855,0.4877995523773131,0.5122004476226868,0.5226638998767914,10262300,4.1724037218
