region_id,Región,Comuna,Pacto,Partido,Nro.voto,Nombres,Primer apellido,Segundo apellido,Votos,Cargo,Coalicion1,Coalicion2
5,DE VALPARAISO,VIÑA DEL MAR,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,251.0,MACARENA CAROLINA,RIPAMONTI,SERRANO,49652,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,INDEPENDIENTES,INDEPENDIENTES,251.0,JOSE ALEXANDER,FLORES,OSORIO,3262,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,INDEPENDIENTES,INDEPENDIENTES,252.0,JUAN EXEQUIEL,ABARCA,PADILLA,1821,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,CHILE VAMOS,RENOVACION NACIONAL,251.0,FELIX ANDRES,SANCHEZ,VERGARA,2030,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,INDEPENDIENTES,INDEPENDIENTES,253.0,PABLA ALEJANDRA,PONCE,VALLE,3576,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,INDEPENDIENTES,INDEPENDIENTES,252.0,CLAUDIO RAFAEL,SEGOVIA,COFRE,7337,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,INDEPENDIENTES,INDEPENDIENTES,254.0,JUAN CARLOS,ABUD,PARRA,8888,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,LUIS MANUEL,BARRA,VILLANUEVA,2694,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,INDEPENDIENTES,INDEPENDIENTES,252.0,SANTIAGO AQUILES,GARATE,ESPINOZA,2766,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,CHILE VAMOS,INDEPENDIENTES-LISTA XX,251.0,MARIA ESTRELLA,MONTERO,CARRASCO,2472,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,CHILE VAMOS,INDEPENDIENTES-LISTA XX,252.0,SEBASTIAN ALONSO,RODRIGUEZ,FUENZALIDA,2810,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,JUAN RAMON,GODOY,MUÑOZ,20529,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,CARLOS ERNESTO,SOTO,GONZALEZ,5974,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,WALDO ANTONIO,VALDIVIA,MONTECINOS,5568,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,FABIAN ANDRES,SOTO,GONZALEZ,2377,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,CHILE VAMOS,INDEPENDIENTES-LISTA XX,251.0,MARCO ANTONIO,CONTRERAS,JORQUERA,8975,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,INDEPENDIENTES,INDEPENDIENTES,252.0,MARIA ANGELICA,SILVA,ARRUE,956,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,UNIDOS POR LA DIGNIDAD,PARTIDO PROGRESISTA DE CHILE,250.0,JUAN PABLO,FLORES,ASTORGA,3491,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,252.0,RENE SANTIAGO,ACUÑA,ECHEVERRIA,1837,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,INDEPENDIENTES,INDEPENDIENTES,251.0,JOSE ALFREDO,ROMAN,CHAVEZ,1813,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,DIGNIDAD AHORA,PARTIDO HUMANISTA,252.0,CRISTIAN ALEJANDRO,SALINAS,HERRERA,2365,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,INDEPENDIENTES,INDEPENDIENTES,252.0,MARIO ANDRES,BUSTAMANTE,SALINAS,2681,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,CHILE DIGNO VERDE Y SOBERANO,INDEPENDIENTES-LISTA M,251.0,YANKO ANTONIO,BLUMEN,ANTIVILO,901,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,GLORIA DE LAS MERCEDES,PAREDES,VALDES,2934,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,CHILE VAMOS,RENOVACION NACIONAL,251.0,MOISES ANTONIO,CARVACHO,VARGAS,2698,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,CLAUDIO,CUMSILLE,CHOMALI,3110,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,INDEPENDIENTES,INDEPENDIENTES,254.0,CARLOS ARIEL,ALIAGA,DONOSO,1919,ALCALDE,1,0
